"Variable","PC1","PC2","PC3","PC4","PC5"
"LICUADORA",-0.3558,-0.2757,-0.0653,-0.0891,-0.2575
"REFRI",-0.3798,-0.0506,0.1932,-0.0755,-0.0019
"EST_GAS",-0.3583,-0.2711,0.0611,-0.0579,-0.1375
"CAL_AGUA",-0.2035,0.318,-0.4983,-0.1357,-0.2255
"RADIO",-0.1813,-0.4577,-0.4874,0.2412,0.1488
"TOCADISC",-0.2692,0.3499,0.2036,-0.2024,-0.4161
"TELEVIS",-0.3378,-0.3593,0.0419,0.0067,-0.1038
"VIDEOCAS",-0.2634,0.3725,-0.1763,0.027,-0.1571
"LAVADORA",-0.3292,0.1731,0.08,0.0287,0.3184
"VENTILA",-0.2698,0.0296,0.5536,0.1389,0.3069
"AUTO_PROP",-0.1886,0.2869,-0.0957,0.8271,0.0434
"CAMION_PRO",-0.2319,0.1842,-0.2693,-0.4006,0.6602
