"Variable","PC1_2000","PC1_2001","PC1_2002","PC1_2004"
"AUTO_PROP",-0.2914,0.1783,-0.1886,-0.1512
"CAL_AGUA",-0.2887,0.1744,-0.2035,-0.1723
"CAMION_PRO",-0.2899,0.194,-0.2319,NA
"EST_GAS",-0.268,0.3811,-0.3583,-0.3929
"LAVADORA",-0.2907,0.3144,-0.3292,-0.3058
"LICUADORA",-0.2605,0.3762,-0.3558,-0.4015
"RADIO",-0.2229,0.2071,-0.1813,-0.1252
"REFRI",-0.2797,0.3869,-0.3798,-0.4293
"TELEVIS",-0.2526,0.3582,-0.3378,-0.3932
"TOCADISC",-0.2866,0.2328,-0.2692,-0.2618
"TRACTOR",-0.2918,NA,NA,-0.055
"VENTILA",-0.2829,0.2911,-0.2698,-0.2389
"VIDEOCAS",-0.2906,0.234,-0.2634,-0.2348
